eval_block,source_dataset,target_dataset,regime,fusion_name,component_methods,threshold_type,threshold_value_or_mode,score_normalization_rule,eligible,f1,precision,recall,fpr,roc_auc,pr_auc,best_single_method_same_tier,best_single_f1_same_tier,best_single_recall_same_tier,best_single_fpr_same_tier,delta_f1_vs_best_single,delta_recall_vs_best_single,delta_fpr_vs_best_single,interpretable_gain_type,notes
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,OR,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0,0.0,0.0559,,,,not_applicable,all 3 methods degenerate at fixed_fpr
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,AND,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0,0.0,0.0559,,,,not_applicable,all 3 methods degenerate at fixed_fpr
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,majority_vote,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0,0.0,0.0559,,,,not_applicable,all 3 methods degenerate at fixed_fpr
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,score_average_default,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0,0.0,0.0559,,,,not_applicable,all 3 methods degenerate at fixed_fpr
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.7289,0.5751,0.995,0.9792,,,lr,0.8601,0.8608,0.1874,-0.1312,0.1342,0.7918,mostly_fp_relaxation,
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.86,0.9685,0.7734,0.0335,,,lr,0.8601,0.8608,0.1874,-0.0001,-0.0874,-0.1539,tradeoff_not_worth_it,
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.7913,0.7347,0.8572,0.4122,,,lr,0.8601,0.8608,0.1874,-0.0688,-0.0036,0.2248,mostly_fp_relaxation,
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.806,0.7407,0.8838,0.412,,,lr,0.8601,0.8608,0.1874,-0.0541,0.023,0.2246,mostly_fp_relaxation,
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.7466,0.6066,0.9707,0.8385,,,lr,0.8643,0.8575,0.1689,-0.1177,0.1132,0.6696,mostly_fp_relaxation,
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.4837,0.9882,0.3202,0.0051,,,lr,0.8643,0.8575,0.1689,-0.3806,-0.5373,-0.1638,tradeoff_not_worth_it,
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.8165,0.8645,0.7735,0.1615,,,lr,0.8643,0.8575,0.1689,-0.0478,-0.084,-0.0074,no_material_gain,
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,OR,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0041,0.002,0.0013,,,,not_applicable,all 3 methods degenerate at fixed_fpr
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,AND,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0041,0.002,0.0013,,,,not_applicable,all 3 methods degenerate at fixed_fpr
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,majority_vote,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0041,0.002,0.0013,,,,not_applicable,all 3 methods degenerate at fixed_fpr
unsw_to_iot,UNSW-NB15,IoT-23,cross_domain,score_average_default,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0041,0.002,0.0013,,,,not_applicable,all 3 methods degenerate at fixed_fpr
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.2446,0.338,0.1917,0.252,,,lstm,0.2607,0.1914,0.186,-0.0161,0.0003,0.066,mostly_fp_relaxation,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0036,,,lstm,0.2607,0.1914,0.186,-0.2607,-0.1914,-0.1824,tradeoff_not_worth_it,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0832,0.255,0.0497,0.0974,,,lstm,0.2607,0.1914,0.186,-0.1775,-0.1417,-0.0886,no_material_gain,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.0833,0.2583,0.0497,0.0957,,,lstm,0.2607,0.1914,0.186,-0.1774,-0.1417,-0.0903,no_material_gain,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.2405,0.3217,0.1921,0.2718,,,lstm,0.2653,0.1914,0.1689,-0.0248,0.0007,0.1029,mostly_fp_relaxation,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0025,,,lstm,0.2653,0.1914,0.1689,-0.2653,-0.1914,-0.1664,tradeoff_not_worth_it,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0859,0.3162,0.0497,0.0721,,,lstm,0.2653,0.1914,0.1689,-0.1794,-0.1417,-0.0968,no_material_gain,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,OR,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0019,0.0231,0.001,0.028,,,lr,0.0019,0.001,0.0131,0.0,0.0,0.0149,no_material_gain,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,AND,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lr,0.0019,0.001,0.0131,-0.0019,-0.001,-0.0131,tradeoff_not_worth_it,
iot_to_cic,IoT-23,CIC-IDS2017,cross_domain,majority_vote,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lr,0.0019,0.001,0.0131,-0.0019,-0.001,-0.0131,no_material_gain,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,OR,lr+xgb,default,frozen_binary,binary_only,True,0.31,0.7755,0.1937,0.0376,,,lr,0.31,0.1937,0.0376,0.0,0.0,0.0,no_material_gain,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,AND,lr+xgb,default,frozen_binary,binary_only,True,0.1256,0.9973,0.067,0.0001,,,lr,0.31,0.1937,0.0376,-0.1844,-0.1267,-0.0375,tradeoff_not_worth_it,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,OR,lr+xgb,val_tuned,frozen_binary,binary_only,True,0.3212,0.9384,0.1937,0.0085,,,xgb,0.3212,0.1937,0.0085,0.0,0.0,0.0,no_material_gain,lr degenerate at val_tuned — OR uses non-degenerate xgb side
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,AND,lr+xgb,val_tuned,frozen_binary,binary_only,True,0.0016,0.9747,0.0008,0.0,,,xgb,0.3212,0.1937,0.0085,-0.3196,-0.1929,-0.0085,tradeoff_not_worth_it,lr degenerate at val_tuned — OR uses non-degenerate xgb side
